"","age","M High","M Low","M Mid","M Mid + Adult","M Mid + Young-Adult"
"1",0,0.0840959381409127,0.004924331953117,0.022639246594865,0.0117660411624025,0.0214167176171281
"2",1,0.0298594342957996,0.00104809075068972,0.00435597937102325,0.00239179100801256,0.00458312903591611
"3",5,0.00941427408658531,0.000682812568424731,0.00244235771487222,0.00165196446161667,0.00242012451575743
"4",10,0.00697388006439539,0.000815941872996406,0.00227810749158576,0.001730573666258,0.00262631512720867
"5",15,0.0112434652580032,0.00258225325464289,0.00518397065238864,0.00470374480923734,0.00701399723442467
"6",20,0.0159252788571871,0.00395950698081465,0.0071076702939046,0.00785857657285557,0.010980879702856
"7",25,0.0176452186690133,0.00425538691664084,0.00735693710501707,0.00950077106596892,0.0122244149872752
"8",30,0.02027025671896,0.00497822591883419,0.00867749615461688,0.0127472646659279,0.0134941149743349
"9",35,0.0255621297572998,0.00658600665144711,0.0117551163211311,0.0185805173482017,0.0155732111802596
"10",40,0.0338992550870759,0.00975702594658155,0.017741537115418,0.0285225896752246,0.0194343349722662
"11",45,0.046972499049108,0.0153197523211906,0.0279812812644599,0.0435741692198,0.0259610056180075
"12",50,0.0677721731376857,0.0246121950126706,0.0451854144572123,0.0651255170496527,0.0371014484819893
"13",55,0.0965966064315172,0.0389581047180818,0.0714687742610025,0.0939344883737266,0.0539201827202078
"14",60,0.142958302700254,0.0611613547686961,0.111791426089872,0.13397429685142,0.0808590151711535
"15",65,0.20482594335037,0.0947255867489535,0.17019647659331,0.186608466359026,0.120673312331744
"16",70,0.297484655858213,0.147147755726044,0.256101770872878,0.261567064771328,0.184376013223852
"17",75,0.420613264129618,0.233042003505665,0.373432549382194,0.369566991280092,0.289201758850877
"18",80,0.572130641911194,0.366224339682963,0.522026958294611,0.50689983176148,0.436260212189453
